Reference, Value, Footprint,Mouser Part Number
U105,TRS_Jack,audio:0.25-jack,568-RJ3VM-D1
U104,TRS_Jack,audio:0.25-jack,568-RJ3VM-D2
U106,TRS_Jack,audio:0.25-jack,568-RJ3VM-D3
U107,TRS_Jack,audio:0.25-jack,568-RJ3VM-D4
U108,TRS_Jack,audio:0.25-jack,568-RJ3VM-D5
RV113,100k,audio:RK09D117000C,688-RK09D117000C
R113,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV114,100k,audio:RK09D117000C,688-RK09D117000C
R114,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV115,100k,audio:RK09D117000C,688-RK09D117000C
R115,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV116,100k,audio:RK09D117000C,688-RK09D117000C
R116,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV109,100k,audio:RK09D117000C,688-RK09D117000C
R109,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV110,100k,audio:RK09D117000C,688-RK09D117000C
R110,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV111,100k,audio:RK09D117000C,688-RK09D117000C
R111,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV112,100k,audio:RK09D117000C,688-RK09D117000C
R112,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV105,100k,audio:RK09D117000C,688-RK09D117000C
R105,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV106,100k,audio:RK09D117000C,688-RK09D117000C
R106,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV107,100k,audio:RK09D117000C,688-RK09D117000C
R107,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV108,100k,audio:RK09D117000C,688-RK09D117000C
R108,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV101,100k,audio:RK09D117000C,688-RK09D117000C
R101,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV102,100k,audio:RK09D117000C,688-RK09D117000C
R102,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV103,100k,audio:RK09D117000C,688-RK09D117000C
R103,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
RV104,100k,audio:RK09D117000C,688-RK09D117000C
R104,15k,audio:Resistor_Horizontal_RM10mm,660-MF1/4DCT52R1502F
U103,TRS_Jack,audio:0.25-jack,568-RJ3VM-D1
U102,TRS_Jack,audio:0.25-jack,568-RJ3VM-D1
U101,TRS_Jack,audio:0.25-jack,568-RJ3VM-D1
CON101,BARREL_JACK,audio:161-0725-E,161-0725-E
U701,NE5532,audio:PDIP-8,595-NE5532P
R201,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1002
R202,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1003
R203,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1004
R204,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1005
U201,NE5532,audio:PDIP-8,595-NE5532P
R301,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1002
R302,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1003
R304,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1004
R305,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1005
R303,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1006
U301,NE5532,audio:PDIP-8,595-NE5532P
R401,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1002
R402,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1003
R404,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1004
R405,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1005
R403,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1006
U401,NE5532,audio:PDIP-8,595-NE5532P
R501,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1002
R502,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1003
R504,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1004
R505,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1005
R503,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1006
U501,NE5532,audio:PDIP-8,595-NE5532P
R601,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1002
R602,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1003
R604,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1004
R605,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1005
R603,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1006
R701,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1007
R702,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1008
R703,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1009
R704,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1010
U801,NE5532,audio:PDIP-8,595-NE5532P
R801,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1002
R802,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1003
R803,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1004
R804,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1005
R901,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1006
R902,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1007
R903,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1008
R904,10k,audio:Resistor_Horizontal_RM10mm,660-MS1/4DCT52R1009
,pdip socket,audio:PDIP-8,575-113308
,pdip socket,audio:PDIP-7,575-113308
,pdip socket,audio:PDIP-6,575-113308
,pdip socket,audio:PDIP-5,575-113308
,pdip socket,audio:PDIP-4,575-113308
,pdip socket,audio:PDIP-3,575-113308
